ISO3,PER_PAME,GROUP
MCO,0,No Assessments
MDA,69.32223235,Over 60%
MHL,0,No Assessments
MKD,94.77336079,Over 60%
MLT,0.044868868,Under 10%
MMR,4.586717732,Under 10%
MNG,69.00415186,Over 60%
MYS,0.921248758,Under 10%
NER,89.84392628,Over 60%
NGA,11.45145502,10-30%
NLD,0,No Assessments
NOR,1.965776347,Under 10%
NPL,71.88529095,Over 60%
OMN,0,No Assessments
PAK,0.236942579,Under 10%
PHL,10.93694265,10-30%
PLW,0.025183438,Under 10%
POL,42.42254714,30-60%
PRK,0,No Assessments
PSE,0,No Assessments
QAT,0,No Assessments
ROU,19.16841657,10-30%
SAU,18.38022216,10-30%
SDN,29.89854955,10-30%
SGP,95.79630751,Over 60%
SJM,0,No Assessments
SMR,,No Assessments
SRB,69.61294446,Over 60%
SSD,60.34842878,Over 60%
SVK,59.59137816,30-60%
SVN,21.74376492,10-30%
SWE,12.85489662,10-30%
SYR,8.364834303,Under 10%
TCD,57.266769,30-60%
THA,37.95654369,30-60%
TJK,82.05497751,Over 60%
TUN,4.994290469,Under 10%
TUR,46.83535947,30-60%
UKR,25.33240731,10-30%
UZB,15.43185078,10-30%
VAT,0,No Assessments
VNM,49.61712138,30-60%
YEM,67.54786857,Over 60%
CHN/IND,0,No Assessments
CHN/PHL/VNM/TWN/MYS,0,No Assessments
CHN/TWN/VNM,0,No Assessments
EGY/SDN,0,No Assessments
GBRX,0,No Assessments
HKG,0,No Assessments
IND/PAK,0,No Assessments
JPN/KOR,0,No Assessments
KEN/SDN,0,No Assessments
MAC,0,No Assessments
MNE,40.63081044,30-60%
RUS/JPN,0,No Assessments
SDN/SSD,0,No Assessments
TKM,60.20443843,Over 60%
TWN,0,No Assessments
MNP,0.002480333,Under 10%
GUM,0,No Assessments
BRA,28.28821262,10-30%
COL,69.21135879,Over 60%
ECU,97.384401,Over 60%
FJI,0.942929363,Under 10%
KIR,99.82986219,Over 60%
NZL,3.04511652,Under 10%
UMI,0.180295048,Under 10%
ATA,0,No Assessments
COD,48.97522062,30-60%
COG,24.64658375,10-30%
GAB,26.09046563,10-30%
GNQ,52.54402223,30-60%
IDN,33.89190183,30-60%
KEN,41.05375419,30-60%
MDV,0,No Assessments
SOM,0,No Assessments
STP,0,No Assessments
UGA,40.96403428,30-60%
BFA,12.04906848,10-30%
DNK,27.13258532,10-30%
DZA,82.77784558,Over 60%
ESP,6.282772619,Under 10%
FRA,1.635882002,Under 10%
GHA,7.817633132,Under 10%
MLI,93.07803667,Over 60%
RUS,42.43658665,30-60%
TGO,23.75227901,10-30%
IMN,0,No Assessments
GBR,50.1484303,30-60%
USA,35.55620174,30-60%
UMI,0.180295048,Under 10%
